target,task,model,metric,estimate,ci_low,ci_high,n_subjects
SemanticFluencyScore,cookieTheft,acoustic,r2,-0.04319101003074132,-0.32472548138188234,0.1242770261856934,970
SemanticFluencyScore,cookieTheft,acoustic,rmse,5.778379157061341,5.203537622024159,6.569947876656741,970
SemanticFluencyScore,cookieTheft,acoustic,mae,4.353406890538445,4.136930627878237,4.601556172476802,970
SemanticFluencyScore,cookieTheft,baseline,r2,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970
SemanticFluencyScore,cookieTheft,baseline,rmse,5.684876653494106,5.410638239502935,5.97606559106988,970
SemanticFluencyScore,cookieTheft,baseline,mae,4.522274230342167,4.32313450309532,4.729848251699911,970
SemanticFluencyScore,cookieTheft,demographics,r2,0.08408593812210571,0.04933894292477809,0.11861295275514772,970
SemanticFluencyScore,cookieTheft,demographics,rmse,5.425910358624257,5.165346759174315,5.717513842674268,970
SemanticFluencyScore,cookieTheft,demographics,mae,4.263952425991761,4.069313565140025,4.473014205462503,970
SemanticFluencyScore,cookieTheft,full,r2,0.16744379998755857,0.10970615968155507,0.22163276729918874,970
SemanticFluencyScore,cookieTheft,full,rmse,5.172155999340041,4.904160737231289,5.430341070089343,970
SemanticFluencyScore,cookieTheft,full,mae,4.049348807289374,3.858787244965583,4.250984136454094,970
SemanticFluencyScore,cookieTheft,linguistic,r2,0.10758397902717287,0.05837460863048229,0.15419905356388344,970
SemanticFluencyScore,cookieTheft,linguistic,rmse,5.355460730598263,5.072534770005198,5.633039985858512,970
SemanticFluencyScore,cookieTheft,linguistic,mae,4.1710135428131885,3.9673940891821684,4.379256326377002,970
SemanticFluencyScore,cookieTheft,linguistic+acoustic,r2,0.12933824373770508,0.07624699239969171,0.18059897726257645,970
SemanticFluencyScore,cookieTheft,linguistic+acoustic,rmse,5.289489907141689,5.021364617829842,5.558502087970496,970
SemanticFluencyScore,cookieTheft,linguistic+acoustic,mae,4.1122083884988365,3.9132132644628546,4.321393463558173,970
SemanticFluencyScore,journaling,acoustic,r2,0.11575768301384136,0.07048537631982493,0.15788794394965178,970
SemanticFluencyScore,journaling,acoustic,rmse,5.330980503777626,5.063886189749986,5.614657344782487,970
SemanticFluencyScore,journaling,acoustic,mae,4.202929965448193,4.00487777743879,4.414774994035858,970
SemanticFluencyScore,journaling,baseline,r2,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970
SemanticFluencyScore,journaling,baseline,rmse,5.684876653494106,5.410638239502935,5.97606559106988,970
SemanticFluencyScore,journaling,baseline,mae,4.522274230342167,4.32313450309532,4.729848251699911,970
SemanticFluencyScore,journaling,demographics,r2,0.08408593812210571,0.04933894292477809,0.11861295275514772,970
SemanticFluencyScore,journaling,demographics,rmse,5.425910358624257,5.165346759174315,5.717513842674268,970
SemanticFluencyScore,journaling,demographics,mae,4.263952425991761,4.069313565140025,4.473014205462503,970
SemanticFluencyScore,journaling,full,r2,0.18302530475954273,0.12905766526011211,0.2396580812945282,970
SemanticFluencyScore,journaling,full,rmse,5.123603433453649,4.856443598044657,5.402491745392706,970
SemanticFluencyScore,journaling,full,mae,3.941253572760982,3.7415686334196323,4.142102420403244,970
SemanticFluencyScore,journaling,linguistic,r2,0.05860603921583061,0.012310442838754525,0.10673031945226497,970
SemanticFluencyScore,journaling,linguistic,rmse,5.500509670159266,5.227692024043516,5.799227232927882,970
SemanticFluencyScore,journaling,linguistic,mae,4.304873445315097,4.106353090580838,4.518148504739283,970
SemanticFluencyScore,journaling,linguistic+acoustic,r2,0.13983094700383844,0.08663828801024726,0.19565661739599235,970
SemanticFluencyScore,journaling,linguistic+acoustic,rmse,5.257461886747071,4.986121685176003,5.543876093100611,970
SemanticFluencyScore,journaling,linguistic+acoustic,mae,4.080252556503923,3.8774821527248697,4.284101236438328,970
SemanticFluencyScore,picnicScene,acoustic,r2,0.08971516368910372,0.037918458545932315,0.13473896534646143,970
SemanticFluencyScore,picnicScene,acoustic,rmse,5.408761788157451,5.147173197919812,5.695302569208587,970
SemanticFluencyScore,picnicScene,acoustic,mae,4.283637821770817,4.101813662210971,4.487222628340364,970
SemanticFluencyScore,picnicScene,baseline,r2,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970
SemanticFluencyScore,picnicScene,baseline,rmse,5.684876653494106,5.410638239502935,5.97606559106988,970
SemanticFluencyScore,picnicScene,baseline,mae,4.522274230342167,4.32313450309532,4.729848251699911,970
SemanticFluencyScore,picnicScene,demographics,r2,0.08408593812210571,0.04933894292477809,0.11861295275514772,970
SemanticFluencyScore,picnicScene,demographics,rmse,5.425910358624257,5.165346759174315,5.717513842674268,970
SemanticFluencyScore,picnicScene,demographics,mae,4.263952425991761,4.069313565140025,4.473014205462503,970
SemanticFluencyScore,picnicScene,full,r2,0.16176115717047684,0.09827993372199982,0.21965939807673854,970
SemanticFluencyScore,picnicScene,full,rmse,5.189532362670531,4.920982396728908,5.448896672071756,970
SemanticFluencyScore,picnicScene,full,mae,4.084757648418472,3.8835124398337744,4.271293907097251,970
SemanticFluencyScore,picnicScene,linguistic,r2,0.07331027433548862,0.009404395534904995,0.13170095349900032,970
SemanticFluencyScore,picnicScene,linguistic,rmse,5.456900038377343,5.1556515133671885,5.742168277762515,970
SemanticFluencyScore,picnicScene,linguistic,mae,4.27313031944187,4.071612148782745,4.484190308928095,970
SemanticFluencyScore,picnicScene,linguistic+acoustic,r2,0.14116126642534765,0.07571101957201841,0.19947765487797137,970
SemanticFluencyScore,picnicScene,linguistic+acoustic,rmse,5.253035279516762,4.960972198787809,5.518848598442073,970
SemanticFluencyScore,picnicScene,linguistic+acoustic,mae,4.136660172970375,3.936342297434448,4.3274994868404715,970
