WORD	AoA (Yrs)	AoA (100-700)	IMG	FAM
drag	5.3	289	366	520
draught	7.7	473	330	460
draw	4.4	227	414	584
drawn	5.1	291	275	498
dream	5	282	463	592
dresser	6.9	407	506	451
drew	5.1	276	269	505
drift	7.2	420	331	492
drive	4.7	248	517	650
drop	4.4	225	410	576
drought	7.7	463	354	429
drown	5.7	313	465	466
drunk	7.5	466	450	614
dubious	9.4	583	160	468
duet	7.7	449	402	449
duke	6.7	401	402	428
dumb	5.5	306	274	541
dung	6.9	407	534	412
dust	5.8	330	497	510
duster	5.9	333	576	486
dustpan	5.8	327	585	501
dusty	6	339	498	495
duty	7.7	446	274	501
duvet	5.6	314	617	611
dwarf	5.1	276	608	437
eager	7.6	456	245	517
eagle	5.7	313	625	462
earn	7	401	311	547
edit	8.2	492	234	540
eighth	6.2	359	226	466
eighty	5.4	299	423	520
eldest	5.6	330	367	562
elite	10.3	632	283	469
elude	10.5	645	129	423
employ	8.8	546	240	526
empty	4.9	261	414	555
enact	9.1	558	291	415
endless	6.6	380	282	517
endure	9	553	178	476
enjoy	4.6	252	364	626
enrage	9	553	377	439
ensure	8.6	524	185	505
entail	9.7	581	100	466
entry	6	330	293	565
equine	11.5	697	353	411
erode	8.9	553	386	427
escort	8.3	520	334	453
estate	8.1	492	469	480
ethnic	9.4	567	356	486
event	6.8	406	261	566
ever	5.4	310	100	642
evoke	10.5	647	186	439
exam	6.9	407	529	591
excel	9.4	570	274	456
exclaim	7.8	472	300	456
exert	9.3	570	223	462
exist	7.2	422	215	523
expel	8.5	532	270	447
expense	7.7	470	160	551
expert	7.6	469	325	540
explore	6.4	371	310	524
export	8.1	491	251	472
eyeball	5.2	261	620	499
facial	8.1	487	481	520
faint	6.8	393	425	488
fair	5	276	286	558
fake	6.5	371	280	524
faker	7.2	414	281	449
falter	9.8	612	225	449
fame	6.7	400	386	508
famous	5.8	314	432	588
fare	7.7	461	353	513
fate	7.9	477	232	503
fatigue	9.9	602	245	475
faucet	10.5	643	356	386
favour	6.5	380	254	569
fearful	7	414	317	475
feat	8.9	531	228	424
feline	8.5	519	469	433
ferret	7.5	453	611	423
feudal	11.2	700	123	422
fibre	8.4	511	433	496
fiction	6.1	339	287	508
fierce	6	333	399	483
fifth	5	269	395	496
fifty	5.3	305	435	557
fill	5.1	263	372	540
film	4.9	269	555	614
filter	7.3	435	341	484
filth	6.6	378	455	473
finger	3.5	178	648	621
firm	7.1	422	320	506
fist	5.1	289	612	483
flank	9.6	586	275	378
flap	5.6	299	423	489
flee	7.9	473	451	432
fleet	8.1	459	352	401
flick	5.7	322	384	506
flicker	7.4	433	408	450
flight	6	337	487	531
flint	8	487	430	393
float	5.3	296	414	466
floater	7.8	470	329	408
flood	5.6	322	571	503
flour	5.1	275	505	501
flow	6.2	348	429	499
flown	6.1	346	343	494
fluent	7.8	469	223	501
fluid	7.2	429	550	500
flung	7.3	440	313	456
flush	5.6	317	420	532
foam	5.3	308	583	499
fodder	9.3	580	315	373
fold	5.5	317	402	555
folder	5.9	342	565	567
folk	7.1	423	311	460
follow	4.7	263	327	604
fond	7.8	469	283	462
fool	5.9	345	353	531
ford	8.9	541	450	450
foreign	7	407	375	532
forge	8.7	538	286	408
former	8.4	520	196	475
forth	7.2	433	225	436
forty	5.6	320	370	535
forum	10.3	647	265	432
fought	6.4	366	395	475
foul	7	420	372	510
fourth	5.1	279	317	551
frail	7.8	459	380	447
frank	8.4	511	238	468
frantic	8.6	539	279	465
freak	8	510	435	539
fresh	5.6	327	335	595
fright	5.3	286	442	493
fringe	5.1	283	500	490
frock	5.8	330	599	421
frown	5.2	276	525	525
froze	6.1	349	475	530
fuel	7	406	494	480
fund	8	487	274	494
fungus	7.5	459	540	449
funky	8.9	533	347	543
funny	3.9	198	404	656
furious	7	399	358	516
fusion	10.6	654	282	427
fuss	5.7	314	232	536
gale	7.2	435	457	434
galley	8.9	553	385	372
gamma	11.4	700	238	397
gastric	12	700	214	408
gate	4.4	236	632	532
gather	6.5	367	319	516
gaunt	9.8	592	323	429
gaze	7	407	396	606
gear	6.7	380	469	499
gender	7.6	460	421	536
gene	10.2	636	437	517
ghetto	10.6	636	490	440
ghost	4.2	214	622	482
gift	4.7	255	547	544
gilt	9.2	521	263	408
glacial	9.9	603	445	402
glad	5.7	313	347	573
glamour	7.8	487	408	524
glance	7.5	453	373	506
global	7.8	470	402	516
gloom	7.6	453	416	458
glory	7.1	415	316	461
glow	5.7	322	473	486
goat	3.9	204	636	443
goblet	8.3	505	493	384
goddess	7.5	461	525	432
gold	5	276	624	506
goodbye	3.5	171	390	700
goofy	5.8	322	441	452
gothic	9.9	593	511	460
govern	8.8	531	217	438
grab	5.5	299	429	550
gradual	7.5	453	235	520
grain	6.4	376	478	463
granite	9.3	560	463	404
granny	3.5	159	650	537
graphic	8.6	527	347	462
grasp	7.1	423	330	489
grass	3.8	190	627	535
gravel	6.3	361	563	432
grease	6.8	394	463	510
grenade	8.1	480	528	408
grey	4.9	268	487	530
griddle	10.7	658	376	392
grim	7	421	263	486
grin	5.4	289	567	524
grind	7	413	390	464
gross	7.7	451	290	527
grow	5.1	275	390	551
guest	5.5	306	364	547
guild	10.7	661	187	391
guilt	7.2	433	250	543
guitar	5.3	299	645	495
gullet	10.8	652	269	408
hackney	11.9	700	250	389
hallway	5.1	293	563	531
hammock	6.9	407	585	432
handful	6.2	354	396	532
handle	5.4	305	525	546
handy	6.2	345	223	542
hang	4.8	256	486	540
hanky	6.1	341	502	412
hardy	9.5	594	218	442
harmful	6.4	373	330	533
harsh	7.3	421	263	564
hatch	5.7	342	445	424
hath	10	628	144	356
hawk	6.8	400	580	419
hazard	7.4	440	459	495
haze	7	407	360	428
header	8	498	354	453
heath	8.8	533	334	447
heel	5.7	305	550	511
heir	8.5	533	295	412
herb	6.1	354	571	525
herbal	8.1	498	404	503
hernia	12.6	700	365	393
hidden	5	279	356	524
hippie	8.4	524	600	464
hobble	7.5	459	417	445
hollow	6.5	367	364	457
homage	11.2	681	213	385
honest	5.5	310	202	601
hood	5.3	291	580	541
hook	5.5	313	595	473
hopeful	6.9	413	246	572
hostess	7.9	472	498	471
hover	7.5	428	360	460
hull	9.1	575	375	395
humane	9.5	574	148	432
hungry	3.6	191	388	694
hymn	5	276	399	413
idea	5.5	317	220	623
idiot	6	330	423	597
idle	8.7	523	242	450
idol	8.8	546	375	498
ignore	5.8	306	330	579
immense	8.6	527	308	478
impact	8.2	502	355	510
impair	9.5	564	230	466
import	8.1	487	282	482
impose	9	553	175	486
impress	7.7	466	299	527
improve	6.7	393	225	569
impulse	8.6	516	293	527
inch	6.4	373	472	524
index	7.7	467	269	524
indoor	4.3	229	390	567
indoors	4.4	212	425	570
infant	6.4	378	600	562
infect	6.9	407	280	497
inflame	9.3	562	339	427
inkling	9.9	625	155	441
inlay	9.7	602	184	391
innate	12.3	700	105	541
input	9.1	554	223	494
insane	7.6	452	299	527
inspect	7.5	439	323	485
install	9	546	148	527
intend	7.6	449	123	540
intense	8.6	508	237	520
invest	9.4	575	235	520
invoice	10.8	663	385	471
isle	7.9	473	390	432
jackal	9.7	569	367	389
jacket	4.8	246	632	642
jail	5.5	313	620	473
jargon	9.8	597	262	417
jazz	7.8	466	551	493
jealous	6.1	352	293	569
jean	5.8	338	463	604
jeep	7	413	611	443
jockey	6.6	386	606	415
jogging	6.4	353	585	546
juggle	5.8	330	562	453
jumble	6.1	335	364	435
junk	6.3	367	469	583
jury	9.1	546	426	461
keen	6.9	393	230	562
kernel	9.8	600	369	387
kidney	7.8	473	593	490
kill	4.4	243	445	536
kingdom	5.9	333	429	436
kinky	11.1	700	427	479
kiss	3.7	178	644	621
knelt	5.8	342	410	485
knife	4.5	245	636	610
knight	5.8	322	580	413
knock	5.1	269	460	591
knot	5.6	303	547	516
lace	5.6	313	560	469
lack	6.8	415	228	525
lager	8	485	644	530
lake	4.8	256	616	506
lapel	9.6	586	364	350
latent	11.6	700	193	405
launch	6.8	394	402	463
lavish	9.3	567	263	440
lawn	5.7	326	598	501
lazy	5.3	296	299	607
leaf	4.4	225	655	540
leaflet	6.9	407	552	540
league	7.8	466	360	533
lean	6.4	361	339	491
ledge	6.8	407	464	460
legend	7	413	291	531
legion	10	610	232	402
leisure	7.7	460	360	550
lend	5.9	341	295	558
leopard	5.6	326	580	421
lest	10.2	636	170	385
lettuce	5.1	276	635	558
limb	7.5	446	559	468
limit	6.6	376	223	576
limp	6.9	399	418	450
liquor	9	505	535	502
list	5.4	293	494	597
litter	5.4	298	620	546
load	6.9	415	330	527
loaf	5.3	296	505	567
locate	7.6	453	226	462
lone	7.3	433	291	454
loop	6	339	481	457
loose	5.3	289	315	536
lorry	4.5	229	636	506
lose	4.6	240	290	579
loud	4.4	243	441	625
lounge	5.3	291	560	578
lousy	8.1	479	234	486
lump	5.1	283	565	495
lung	6.7	393	560	495
lure	9.6	597	245	454
lush	8.6	525	368	506
lust	9.6	577	360	502
madness	6.8	401	335	536
mail	5.3	291	565	594
maize	9.2	567	426	432
mallet	7.2	448	533	419
manic	9.8	612	325	523
mansion	6.6	380	612	443
mantel	11.2	510	345	382
manure	6.8	393	515	429
marry	5.1	282	498	529
mars	6.2	359	567	506
marsh	6.4	380	505	426
marshal	9.4	587	425	403
mask	4.9	269	555	476
massive	6.2	353	418	583
mate	7.1	420	472	640
matrix	12.6	700	274	449
matron	8.7	541	495	388
meagre	10	611	205	385
measles	6.4	367	559	413
meat	3.9	198	636	594
medium	5.8	333	308	572
melt	5	276	445	513
memoir	9.9	634	230	418
mention	6.7	386	200	576
mere	8.7	533	117	447
merry	5.8	317	396	477
mess	4.2	223	547	624
methane	10.9	672	232	430
metre	6	339	494	539
metric	9.5	593	232	479
middle	4.9	261	299	588
midget	8.2	510	500	460
midst	9.6	608	223	427
midwife	7.5	438	478	427
mighty	6.8	413	330	466
mike	6.9	403	390	537
mild	6.2	361	262	534
mildew	9.3	553	360	398
mileage	8.7	526	317	443
milk	3.6	192	626	640
mill	6.5	380	451	431
mingle	10.2	648	285	512
minor	7.5	439	234	503
mint	5.3	298	485	535
miser	9.6	585	288	359
missile	8	479	620	428
mission	7.3	426	291	516
mistake	5.3	291	255	584
mock	8.1	492	279	501
mode	8.6	511	213	449
modest	8.6	511	250	532
moist	7.1	420	412	510
month	5.1	259	313	603
mood	6	346	258	618
moon	3.9	204	648	513
mooring	9.3	557	347	399
morsel	8.5	523	334	415
moss	6.3	354	579	418
motion	7.3	433	386	499
mound	7.2	426	425	437
mount	7.1	420	376	456
mower	6.6	374	432	427
muck	5.5	307	427	450
muffin	5.7	313	615	537
mumble	6.2	349	280	508
mummy	2.1	100	654	606
murmur	8.2	491	202	456
mustang	10.6	638	477	381
mustard	6.4	378	585	450
myth	6.5	376	302	465
naive	9.9	609	160	499
nanny	4	214	525	492
nasty	4.6	241	341	566
naughty	4	203	300	596
nausea	8.8	538	339	449
neat	5.4	302	396	577
neck	4.4	223	608	551
neon	8.8	539	497	427
nervous	6.5	386	330	590
nest	5.1	282	584	454
nettle	5.2	291	560	431
network	9.2	580	308	530
neural	11.3	675	286	466
neutral	8.8	546	255	469
neutron	11.5	700	325	412
nickel	8.7	526	311	395
nimble	7.2	441	315	415
nine	3.9	206	468	603
ninety	5.1	291	409	485
ninth	5.4	299	334	450
nipple	7.4	440	611	501
noise	4.1	203	325	613
noon	6.2	352	317	523
norm	9.4	588	142	499
notion	9.3	568	195	453
nucleus	10.5	661	399	479
nude	7.3	423	599	491
nugget	7.5	426	429	449
nuptial	11.8	700	223	358
nylon	8.9	561	415	501
oblige	9.2	580	217	452
obscure	9.5	601	209	484
observe	7.7	452	299	557
obvious	7.1	426	217	628
occur	8.1	502	180	546
offend	7.5	461	283	536
office	6.2	367	612	551
omit	9.7	597	250	452
oppose	8.4	511	246	475
option	6.9	420	243	574
orbit	8.3	518	392	432
orchard	6.7	400	545	427
ordain	10.1	616	230	378
ordeal	8.3	512	196	487
other	5.2	289	105	652
ounce	7.1	437	260	462
outcome	8	473	209	488
outlook	8.1	505	266	514
output	8.3	491	111	488
oval	6.4	352	535	435
overt	10.9	674	100	434
oyster	7.8	473	615	426
pack	5.9	361	404	572
packet	5.3	298	495	611
pain	4.7	252	390	562
painful	5	269	345	557
pair	4.9	256	433	592
paisley	10.2	616	408	382
pale	5.9	330	436	540
pallet	8.9	546	425	395
panic	6.5	380	395	558
parade	6.5	380	543	464
parcel	5	286	606	548
parish	8	485	396	380
parka	9.8	595	438	393
parlour	7.7	460	403	404
parole	10.8	647	274	429
passion	9.1	551	396	510
passive	9	533	217	485
pastry	6	339	593	501
patch	6	356	475	484
path	5	269	580	565
patrol	7.9	485	339	439
patron	9.9	594	256	405
payroll	10	614	325	456
peace	6	352	390	551
peak	6.8	407	493	490
pearl	6	338	602	447
pebble	5.2	283	625	498
peddle	6.1	361	478	462
peel	5.2	283	475	540
peer	9	539	311	485
pelvis	9.3	574	516	442
pence	5.2	303	481	649
percent	8.2	484	299	549
perform	6.2	352	299	527
perky	8.4	519	372	456
persist	8.3	495	205	490
pester	6.9	387	257	438
petrol	6	353	546	572
petty	8.4	525	230	510
phase	8	484	160	506
phone	4.5	248	644	670
phoney	9.1	561	195	422
photo	5	268	640	594
pick	4.8	256	331	588
picket	9.2	564	303	391
pier	7.3	420	550	433
pike	8.2	492	334	418
pile	5.4	298	500	548
pill	5.9	341	624	569
pine	6.8	394	478	462
pint	7.3	433	624	610
pipe	5.6	322	617	461
pistol	6.5	374	640	442
pitch	7	413	408	468
plant	4.1	206	617	566
plasma	11.7	700	329	472
plate	4.2	227	596	629
platter	8.8	544	478	412
plea	8.8	553	222	451
plead	7.9	488	265	476
pledge	8.7	533	220	421
plight	10	620	226	389
plough	6.7	392	525	434
ploy	9	554	209	424
plump	7	415	500	445
plural	8.5	508	218	492
poacher	8.1	485	453	411
poker	7.8	472	530	464
polar	8.5	523	418	419
pole	5.4	302	482	468
polite	4.7	252	256	551
poll	8.6	539	280	447
pony	3.9	197	632	477
poodle	6.2	366	578	439
pope	7	407	566	428
pork	5	275	541	524
porter	8.8	539	483	503
pose	7.3	426	364	456
possess	8	487	248	518
posture	7.7	460	433	469
posy	7.2	413	343	397
potent	8.9	546	184	459
poultry	8.2	498	438	453
pram	3.9	197	612	452
pray	4.7	243	502	471
precise	8	472	246	514
preface	10.8	700	245	434
premium	9.2	567	205	463
pretzel	8.9	546	602	441
prevent	7.8	460	200	539
preview	8.2	485	282	510
pride	7.6	461	283	502
primal	10.9	667	209	405
prime	8.1	493	209	454
prince	4.4	232	590	457
print	6.6	387	498	592
prior	8.6	532	145	488
prison	5.9	326	554	506
privy	10.9	675	191	376
prize	4.6	252	507	510
probe	8.8	544	331	423
prolong	9	539	177	445
prone	9.5	605	200	488
prop	7.7	456	251	465
proper	6.8	413	213	566
propose	7.7	467	351	504
prose	10.3	626	283	447
proud	5.4	296	293	523
prove	7	413	221	572
provide	7.6	461	214	557
prudent	10.4	654	197	416
pull	4.9	275	348	618
pulley	8.7	528	409	402
pulpit	7.7	469	426	422
pulse	7.6	446	433	486
punish	5.5	306	351	502
pure	6.3	359	251	508
purse	4.8	247	640	599
pursue	8.9	540	251	495
quantum	12.4	700	100	391
quarry	8.3	498	486	430
queer	9.4	567	295	460
quest	7.3	415	297	415
queue	6.1	345	511	591
quibble	9.4	570	218	426
quick	4.8	276	335	629
quit	6.4	371	275	567
rabbi	9.3	587	545	403
racist	9.4	580	395	485
rack	6.6	386	485	502
radiant	8.5	523	362	469
rail	5.2	275	499	530
rainbow	4.2	206	662	469
raisin	4.7	247	635	514
random	7.8	473	180	595
randy	10.7	685	365	486
rank	7.3	440	248	471
rare	7.1	407	254	523
rather	6.2	366	174	647
ration	8.5	500	325	421
razor	6.8	400	575	491
react	7.3	426	270	559
realize	6.3	361	223	604
rear	6.9	423	367	478
rebound	8	467	300	468
recent	6.9	407	205	583
reef	8.5	520	485	499
reel	7.1	400	376	429
refill	7	407	381	512
reggae	10.9	665	511	468
regime	10.2	623	184	463
region	8	491	287	488
relate	7.7	473	226	537
relay	7.1	413	319	469
release	6.7	400	269	543
relic	9.3	587	386	398
relish	8.7	533	295	647
remote	7.4	433	382	553
repel	8.5	511	262	476
request	7.4	442	154	527
resent	9.1	538	242	476
reserve	7.4	454	214	526
reset	7.7	456	166	520
resign	8.7	520	239	453
resort	7.4	446	369	469
restore	8.3	512	178	488
reverse	6.5	380	376	532
revoke	10.2	626	217	395
rhythm	6.5	386	300	516
rice	4.9	268	622	584
ride	4.3	223	482	562
ripe	5.7	314	436	506
river	4.2	214	608	525
roach	10.5	648	365	385
robe	6.4	359	566	491
rock	4.3	223	583	551
roll	4.6	236	514	525
root	5.6	322	539	457
rough	5.4	299	343	555
rude	5.2	275	293	606
ruffle	7.6	452	380	447
ruin	6.8	392	376	527
rupee	9.8	603	269	382
rural	8.4	513	438	499
sack	5.4	305	555	471
safe	4.9	259	274	569
sail	5.2	295	599	454
saint	6.8	394	421	429
sale	6.5	376	446	572
saloon	8.1	498	555	384
salute	7	414	559	417
salvage	8.3	500	300	438
sane	8.1	492	262	495
sausage	4.3	221	659	553
scabby	6.6	376	432	484
scalpel	9.1	574	585	426
scar	5.7	331	590	482
scarce	8.4	505	178	462
scarf	4.8	269	610	591
scent	7.8	473	291	458
scholar	9	547	442	454
scoop	5	266	416	486
scope	9.3	570	191	422
score	5.5	298	340	550
scrap	6	333	425	501
screen	5.6	298	530	527
screw	5.6	310	517	520
script	7.7	460	498	462
scrum	8.5	492	502	449
seat	4.5	243	604	599
section	7	422	255	540
sector	9.6	590	235	441
secure	7.3	428	245	537
seed	5	275	438	491
seek	5.8	322	331	495
seesaw	3.7	172	628	442
seize	7.9	477	178	472
seldom	8.9	547	191	465
select	6.5	380	246	558
selfish	6.1	337	225	562
sell	5.1	279	295	547
senate	10.6	645	248	433
send	5.1	283	274	614
senior	7.2	426	321	506
sensual	10.1	634	300	475
septic	9.7	594	382	419
serene	9.7	600	390	432
sermon	8	490	364	412
serve	6.3	345	269	523
session	7.4	439	250	521
setback	8.8	546	205	482
seventh	5	272	274	520
severe	7.2	429	245	517
shade	5.6	293	459	509
shaft	8.3	500	390	427
shallow	6.1	353	442	506
share	4.6	250	315	580
shark	4.9	252	645	462
sharp	4.3	230	514	523
shave	6.7	394	517	557
sheep	3.9	199	641	484
sheer	8.5	516	334	432
shelf	5.2	282	571	546
shell	5.1	282	608	473
sherry	8.3	498	426	440
shift	6.6	380	270	497
shine	5.3	289	481	532
shiny	4.6	241	547	540
shoe	3.3	152	640	635
shone	7	396	413	425
shook	6.1	348	307	498
shoot	5.7	330	474	499
shore	5.8	320	555	473
shot	5	276	446	530
shown	5.8	327	190	576
shrewd	10.1	620	248	424
shrill	9.3	574	300	419
shroud	9.7	599	364	385
shudder	7.8	472	356	476
sick	4	197	518	564
silent	4.7	256	303	576
silk	7	407	590	485
simple	5.4	299	195	583
sincere	8.5	505	250	487
sing	4.2	218	465	573
sixteen	5	268	390	489
sixth	5	261	305	524
sixty	5.1	283	427	546
skin	4.3	214	603	607
skinny	6.5	386	559	583
skull	7	423	640	443
slab	7.7	449	455	418
slack	7.4	423	297	472
sleek	8.3	508	385	469
slick	8.8	539	335	460
slide	4.3	217	551	506
slight	7.3	430	200	553
slip	4.6	255	426	521
slipper	4.6	260	594	502
slope	5.8	331	469	514
slow	4.4	247	365	614
slum	8.3	507	408	434
slump	7.7	460	438	453
smart	5.7	313	330	569
smell	4	192	313	635
snap	5.2	282	429	513
snatch	5.3	289	366	520
snuggle	5.3	302	453	533
soak	5.5	291	409	530
sober	9	561	290	597
sofa	4.7	252	619	603
solar	8.3	502	435	443
sole	7.2	426	338	472
sonar	11.5	686	260	402
sonic	9.3	564	307	371
sonnet	10.8	655	356	382
sore	4.7	252	358	517
